designation,name,work_type,involvement,employees_count,job_details,industry,level,City,State
Database Developer,Hirenture,On-site,Full-time,11,"About the job DATABASE DEVELOPER [Experience level – 5 years] • Proven expertise in handling one or more relational databases: MySQL, MariaDB, Oracle. • Proven expertise in handling one or more data stores/NoSQL databases: MongoDB, Cosmos DB. • Proven track record of debugging, optimizing queries and offering solution to improve general DB performance. • Understanding of Cloud-based databases as a service and how to provision them. • Excellent communication ability and confident handling of the English language.",Not Avilable,Not Avilable,Trivandrum,Kerala
Cloud Engineer,VAYUZ Technologies,Remote,Full-time,51,"About the job 5 years of experience as a marketing cloud administrator and/or developerResponsible for understanding business requirements and delivering high-quality technical solutions that empower the Marketing teams to utilize the Marketing Cloud automation platform.Responsible for supporting the email marketing team with building custom queries, email templates, amp script-based dynamic templates, automation jobs, and build out comprehensive customer journeys.Experience with email and/or marketing automation software and integration with databasesKnowledge of Salesforce Marketing Cloud (SFMC) aka ExactTarget is required.Integration experience - Marketing Cloud Connect etc.Experience working with all Marketing Cloud Builders and Studios, including Mobile Connect and Personalization Builder for EmailsDevelop responsive email templates with extensive knowledge of AMPscript and Guide Template LanguageFront-end development building Cloud Pages utilizing HTML, CSS, JavaScript and AMPScriptExperience implementing automated solutions utilizing Marketing Cloud Server-Side Java Script (SSJS)Master with SQL and robust understanding of Marketing Cloud’s contact data modelExtensive experience utilizing Journey Builder with thorough understanding of Audience Builder configuration.Ability to elicit requirements and translate to technical solutions that can scale across multiple business unitsExperience with web service integration (REST/SOAP)Strong background in agile SCRUM agile practices and associated tools (Jira, Confluence, Slack, etc.)Fundamental understanding of database technologies (RDBMS, NoSQL)Certified in Salesforce Marketing Cloud Developer and/or Marketing Cloud Consultant is preferred, but not required", IT Services and IT Consulting, Mid-Senior level,Bengaluru,Karnataka
Data Analyst,Verisk,On-site,Full-time,5001,"About the job Company Description We help the world see new possibilities and inspire change for better tomorrows. Our analytic solutions bridge content, data, and analytics to help business, people, and society become stronger, more resilient, and sustainable. Job Description Key Responsibilities Create and maintain optimal data pipeline architecture.Assemble large, complex data sets that meet functional / non-functional business requirements.Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ‘big data’ technologies.Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.Keep our data separated and secure across national boundaries through multiple data centers and AWS regions.Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.Work with data and analytics experts to strive for greater functionality in our data systems. Qualifications We are looking for a candidate with 2-3+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools: Skills Required A minimum of 2-4 years of experience in data architecture and ModelingExperience with AWS cloud services: EC2, EMR, RDS, Redshift, Glue, LambdaExperience with relational SQL and NoSQL databases, including Postgres and Cassandra.Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.Experience with big data tools: Hadoop, Spark, Kafka, etc.Experience with stream-processing systems: Storm, Spark-Streaming, etc.Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.Strong analytic skills related to working with unstructured datasets.Build processes supporting data transformation, data structures, metadata, dependency and workload management.A successful history of manipulating, processing and extracting value from large disconnected datasets.Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.Strong project management and organizational skills.Experience supporting and working with cross-functional teams in a dynamic environment. Education- UG: B.Tech./B.E. - Any SpecializationPG: MS/M.Sc. (Science) - Any Specialization, M.Tech. - Any Specialization, MCA – Computers Additional Information In 2022, Verisk received Great Place to Work® Certification for our outstanding workplace culture for the sixth year in a row and second-time certification in the UK, Spain, and India. We’re also one of the 38 companies on the UK’s Best Workplaces™ list and one of 18 companies on Spain’s Best Workplaces™ list. For over fifty years and through innovation, interpretation, and professional insight, Verisk has replaced uncertainty with precision to unlock opportunities that deliver significant and demonstrable impact. From our historic roots in risk assessment, we’ve grown to provide analytic insights that help transform industries focused on some of the world’s most critical areas. Today, the insurance industry relies on Verisk to be, and to make the world, more productive, resilient, and sustainable. Verisk works in collaboration with our customers and at the intersection of people, data, and advanced technologies. Through proprietary platformed analytics, advanced modeling, and interpretation, we deliver immediate and sustained value to our customers and through them, to the individuals and societies they serve, with greater speed, precision, and scale. We’re 9,000 people strong, committed to translating big data into big ideas. We help others see new possibilities and empower certainty into big decisions that impact individuals and societies. And we relentlessly and ethically pursue innovation to help move our customers, and the world, toward better tomorrows. Everyone at Verisk—from our chief executive officer to our newest employee—is guided by The Verisk Way, to Be Remarkable, Add Value, and Innovate. Be Remarkable by doing something better each day in service to our customers and each other Add Value by delivering immediate and sustained results that drive positive outcomes Innovate by redefining what’s possible, embracing challenges, and pushing boundaries Verisk Businesses Underwriting Solutions — provides underwriting and rating solutions for auto and property, general liability, and excess and surplus to assess and price risk with speed and precision Claims Solutions — supports end-to-end claims handling with analytic and automation tools that streamline workflow, improve claims management, and support better customer experiences Property Estimating Solutions — offers property estimation software and tools for professionals in estimating all phases of building and repair to make day-to-day workflows the most efficient Extreme Event Solutions — provides risk modeling solutions to help individuals, businesses, and society become more resilient to extreme events. Specialty Business Solutions — provides an integrated suite of software for full end-to-end management of insurance and reinsurance business, helping companies manage their businesses through efficiency, flexibility, and data governance Marketing Solutions — delivers data and insights to improve the reach, timing, relevance, and compliance of every consumer engagement Verisk Maplecroft — provides intelligence on sustainability, resilience, and ESG, helping people, business, and societies become stronger Verisk Analytics is an equal opportunity employer. All members of the Verisk Analytics family of companies are equal opportunity employers. We consider all qualified applicants for employment without regard to race, religion, color, national origin, citizenship, sex, gender identity and/or expression, sexual orientation, veteran's status, age or disability. http://www.verisk.com/careers.html Unsolicited resumes sent to Verisk, including unsolicited resumes sent to a Verisk business mailing address, fax machine or email address, or directly to Verisk , will be considered Verisk property. Verisk will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume.", Information Services, Mid-Senior level,Delhi Cantonment,Delhi
Game Developer,CareerLoop,On-site,Full-time,1,"About the job About us Our client is one of India's leading mobile game studios. They focus on mobile game production and started their journey in 2017. To date, they have developed more than 170 games and amassed160 Million+ downloads worldwide. Summary:Full-time positionOnsite, Thane, India3+ years of experience Duties:Be in charge of prototyping a hyper-casual game from A to Z.Find the critical features that will make the game loop addictive, then program the core gameplay respecting the deadlines.Integrate graphic elements and visual effects.Write clean & robust codeAbility to deconstruct and analyze mobile games mechanics Requirements:3+ years of Unity game development experience.Proficient in Unity (C#)Able to integrate multiple ad networks and analytical SDKsExperience with hyper-casual gamesA strong desire to create simple and effective games (definition of hyper-casual).Autonomous, but comfortable with teamwork.Able to learn and adapt quickly.Good in math, geometry, and statistics What we offer:Stable employment in one of India's best mobile game studios.A flat and transparent culture.Work directly with an experienced team with in-depth knowledge of the gaming industry.Competitive salary, discretionary annual bonus scheme.Health & accidental insuranceAn environment where everyone can freely voice their opinions.‍Welcome skills:Familiarity with Business Intelligence tools.Love of spreadsheets.Experience using MacOS.",Not Avilable,Not Avilable,Thane,Maharashtra
Game Developer,IgluLabs,Hybrid,Full-time,11,"About the job Iglulabs is a Bengaluru based technology firm with expertise in a comprehensive portfolio across mobile & web software development with cloud expertise, technology and analytics consulting & design & creative services. We work with small & large clients from the ideation, concept design to product release stage. We have a global presence with clients & partners across North America, Europe, Africa, Middle East, Asia & Ocenia. Our mission is to deliver perfection in the work we deliver for our clients – impeccable quality coupled with excellent client support We are Looking for UNITY Developers who are looking for the next big challenge in helping us develop multi-player live games for a Client who is in the Game based learning industry. The Need is URGENT and are looking for candidates who are ready to join right away.",Not Avilable,Not Avilable,Bengaluru,Karnataka
Data Analyst,Etech Global Services,Remote,Full-time,1001,"About the job Job Title : Sr. Data Engineer Department : Etech Technology Solutions (ETS)Location : Gandhinagar Our team is growing – but we are not adding members just to fulfill requests. We are searching for individuals who are ready to be a part of the next big thing and are excited about growing with our company! Leadership is anxiously waiting to cultivate and develop your skills and prepare you for the career journey of a lifetime.Our focus is to create lasting impressions with each customer interaction. Reflect on the times you have been the customer and you left your experience feeling satisfied, appreciated, and valued. Simply put – these are the experiences you will use to deliver world-class results to our customer base.If you consider yourself to be a team player, goal-oriented, and possess a passion for helping others; apply to become a part of the Etech Global Services Team. ABOUT US:Globally, we are over 3000+ strong, and we are always searching for new team members which will offer fresh and innovative ideas and diverse approaches to everyday problem-solving. Etech is governed by 12-character commitments: Integrity, Valuing People, Teamwork, Accountability, Communication, Vision, Adaptability, Humility, Creativity, Teachability, Positive Influence, and Courage. Together, these 12 commitments guide our workplace culture and set the tone for how we treat each other. Visit us: www.etechgs.com What we offer:Transportation allowanceCanteen SubsidyNight Shift allowance as per processHealth InsuranceTuition ReimbursementWork Life Balance InitiativesRewards & Recognition WHAT WE EXPECT YOU TO HAVE:Experience: 5+ Years of ExperiencePerson should have 5 years of good knowledge on ETL(Logic) using pythonPerson should have good experience in Python and APIPerson should responsible for collecting, parsing, transforming and analyzing large dataPerson should able to design, develop, support on extracting complex data, and automates ETL jobs",Not Avilable,Not Avilable,Ahmedabad,Gujarat
C Developer,AIMLEAP,Hybrid,Full-time,51,"About the job AIMLEAP is Hiring: C++ DeveloperExperience: 3 to 5 YearsLocation: Hybrid/Bangalore, IndiaNo of positions: 4 NosIndustry: IT-Software / Software ServicesSalary: 4 lacs to 9 lacs INR Per AnnumNotice Period: Immediate Primary Skill:Proficiency in C++ in implementing multithreading and client server setup Secondary Skills:Knowledge of 3D graphics using C++Knowledge of CMAKe to build opensource librariesKnowledge of sending and storing data serialised data over a network like using protobufFor 3D graphics in C++ opengl will be helpful Role:Roll of the programmer will be to work closely with the research and development team to implement new algorithms and architectures",Not Avilable,Not Avilable,Bengaluru,Karnataka
Analyst,TechnoScience (Domnic Lewis International LLC),On-site,Full-time,51,"About the job Job DescriptionAs a Senior Threat Intelligence Analyst , you are responsible to enhance our Cyber resilience and to ensure our organization can detect and respond to the present threats. You will work with a team of other Cyber specialists in the Office of the CISO. You work closely with the IT department on security related matters and other departments as needed.ResponsibilitiesCollect and analyses data from multiple sources to cluster and track activity of the threats that are under the intelligence requirements.Produce actionable intelligence products for our internal stakeholders.Analyze malware, infrastructure and other malicious related to threat activity.Provide threat intelligence enrichment and support for the response investigationsProvide ongoing threat intelligence insights to assist Threat Hunting process.Effectively manage workload and time to meet deadlines of intelligence requirementsProvide recommendations for an adaptive security posture.Support efforts to manage vulnerabilitiesCommunicate security information and requirements to all relevant internal and external parties, in all relevant situationsAdvice on the approach takes to protect its assetsAdvice on mitigating identified risks by making use of automated controls and/or monitoring reportsEnsure implementation / adherence / compliance with the Information Security FrameworkQuality checks information security implementations and proper risk analysesSupport in other areas of security as needed Experience / EducationMaster/ bachelor’s degree in business management, computer science, computer engineering, mathematics, or a related field of studyExperience working in a similar role in threat intelligence, research or incident response that involved elements of threat actor tracking and investigation.Experience supporting and working on various cyber security technologies such as SIEM, Logging tools, firewalls, IDS/IPS, EDR.A good understanding of OS fundamentals and Network Communication protocols, experience and technical knowledge of threat actor tradecraft that can be used to develop techniques to discover and track the advanced threats of today and tomorrow across multiple data setsFamiliarity with common techniques used by malware and threat actors and the industry standard lexicon for discussing such threats (e.g., MITRE ATT&CK, Kill Chain)Experience with scripting might be a pulsKnowledge of authentication technologies such as privileged access management, Active Directory, etc.A minimum of 3 years relevant works experience in an international corporation.Threat Intelligence certifications might be a plus, or other relevant security certifications.Excellent written English and communication skills for producing quality intelligence reports to be consumed both at the executive and technical practitioner level",Not Avilable,Not Avilable,Navi Mumbai,Maharashtra
Unity Developer,Inferenz,On-site,Full-time,51,"About the job Roles and Responsibilities: Implement game functionality as per communicated design. Translate design specifications into a functional game. Communicate with other team members to establish an effective pipeline and integrate media assets. Design, build and maintain efficient, reusable, and reliable code. Ensure the best possible performance, quality, and responsiveness of applications. Identify bottlenecks and bugs, and devise solutions to address and mitigate these problems. Help maintain code quality, organization, and automatization. Experience with multiplayer gaming. (must make 2-3 multiplayer games in a career). Experience in AR, VR using tools like Vuforia, WebGL, etc. Experience with plugin integration in Unity. Familiarity with level design and planning. Experience with game physics and particle systems. Experience with mobile and console game development. Experience optimizing memory and space usage for support of older hardware. Ability to constantly learn and stay in touch with evolving game standards and development technologies. Strong understanding of object-oriented programming. Familiarity with current design and architectural patterns. A knack for writing clean, readable, and easily maintainable code. Experience in implementing automated testing platforms and unit tests. Proficient knowledge of code versioning tools. Excellent knowledge of Unity, including experience with scripting, textures, animation, Canvas styles, and user session management.",Not Avilable,Not Avilable,Ahmedabad,Gujarat
Business Analyst,Delta Air Lines,On-site,Full-time,10001,"About the job The Business Analyst is responsible for aligning technology solutions with business strategies by communicating and clarifying business needs, contributing to development of long-range systems plans, and ensuring technology products and services are aligned with business needs across Information Technology, 3rd parties and partner domains. This position reports into Delta’s Cloud Center of Expertise (CCoE) and will work closely with the Technical Product Owner. YOUR RESPONSIBILITIES IN THIS ROLEDWe have detected that you have been idle. In we will redirect you to the login page. Provides support to CCoE leadership team and development squadsTriages and processes new requests from stakeholders/internal customers via established intake process. Communicates with internal customers to clarify requests as neededCommunicates milestones and accomplishments to stakeholdersProvides support, resolving issues not requiring extensive system knowledgeSupport Strategic Initiatives and Epics/Features which impact CCoE deliverables through consultation, testing, troubleshooting and ensuring relevant use cases are consideredGather, develop, coordinate, and maintain business requirements for various projects and/or systems from initial phase to final implementation, assuring requirements meet standards; troubleshoot issues, coordinate timelines, maintain and communicate project status reports and trackingInteract closely with internal/external customers to understand business processes, customer requirements, project schedules, and level of satisfactionAnalyzes issues to be resolved and helps provide solutions to meet the desired business outcomesResearch, analyze, and resolve ad-hoc customer problems and questions in positive, timely and professional mannerEffectively communicate status on activities and issues to customers and manager on a regular basis both verbally and in writingMaintain documentation of test results, processes, known issues, etc. to facilitate knowledge sharing across the teamDevelops and/or update documentations and training materials.Manage user stories and deliverables in Agility WHAT ARE WE LOOKING FOR? / WHAT EXPERIENCE DO YOU NEED?1-3 years of IT and/or business or any equivalent combination of experience, education, and/or trainingDemonstrated skills in process mapping, analytical, technical, and proven problem-solving skillsAbility to create detailed, well-written documentation for a variety of audiencesKnowledge of the Agile development methodologies and corresponding tools (ex. Agility/VersionOne, Jira)Candidate must have the ability to deliver quality work on time and translate planning into action as well as anticipate and address barriersStrong communication, relationship management and influencing skills needed to work in partnership with internal teamsAbility to multi-task, and be detail oriented. WHAT ELSE?Experience working with diverse teams located in various countriesMust be able to prioritize work on multiple project teams, with the overall goal of satisfying all deployment needs and effectively supporting diverse clientsProject Management experience and previous airline business experience is preferred Delta Air Lines develops both strategic and tactical plans that create a safety-conscious environment resulting in employee safety and well-being.", Airlines and Aviation, Entry level,Bengaluru,Karnataka
Data Analyst,KG Invicta Services (KGiS),Remote,Full-time,1001,"About the job Job Description Standard expectations out of this BA position- such as experience working on JIRA or similar tools, writing user stories, BRD etc, however with experience working on Data projects Experience: 7-10 years Location: Bangalore, Chennai, Hyderabad, Pune, Kolkata, Noida Notice: Immediate to 30 Days Requirements Has good exposure working on Data projects as BA. Facilitates the discussion between technology and business Creates and prioritize future state data use cases along with reporting requirements Provides expert opinion on the domain and link it back to data attributes Prepares and finalizes BRM Data Extraction , data cleaning , data importing, Excel and SQL. About The Client THE CLIENT is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, they brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries,", Outsourcing and Offshoring Consulting, Mid-Senior level,Bengaluru,Karnataka
Angular Developer,Pretorius Staffing Solutions,On-site,Full-time,201,About the job angular Tech Lead location - Navi Mumbai experience-8+ Years banking domain qualifications- B.E /B.tech Immediate joiner,Not Avilable,Not Avilable,Navi Mumbai,Maharashtra
Python Developer,Applicantz,Remote,Contract,51,"About the job THIS IS A LONG TERM CONTRACT POSITION WITH ONE OF THE LARGEST, GLOBAL, TECHNOLOGY LEADER. Our large, Fortune Technology client is ranked as one of the best companies to work with, in the world. As a global leader in 3D design, engineering, and entertainment software, they foster progressive culture, creativity, and a flexible work environment. They use cutting-edge technologies to keep themselves ahead of the curve. Diversity in all aspects is respected. Integrity, experience, honesty, people, humanity, and passion for excellence are some other adjectives that define this global technology leader. We are looking for a Senior Automation Engineer, who will be part of the Tools and Automations team within Enterprise Delivery Center (EDC). The candidate's role is to identify, design, and deliver automations that add more productivity hours to the Operations team. In this role, your primary focus is to perform frequent assessments on the automation requirements, and negotiate the scope of any automations which ultimately results in generating more productivity hours for operations engineers. You will also be responsible for designing and developing the automations with the most suitable and innovative tools and technologies. You will be partnering closely with application owners, operations engineers, Governance teams, etc, to transform more tasks into meaningful automation. Qualifications6+ years of proven experience in Automation development and deployment, maintenance, and DevOps.Strong scripting experience in Python, PowerShell, and Shell scripting in production automation development and deployment. Familiarity with other scripting and programming language is a plus.Understanding of DevOps process and Agile development cycle with Continuous Integration / Delivery (CI/CD). Experience with CI/CD platforms is a plus. AWS CI CD knowledge would be a plus.Hands-on knowledge in the Automation of administration activities through Ansible, Chef, Puppet or any similar orchestration engines is mandatory.Very good experience on REST APIs, dealing with. JSON, .yaml config files are mandatory.Exposure to AWS Public cloud services is mandatory. Hands-on automation development in the cloud will be a plus.Working knowledge in Docker containers and the Kubernetes environment will be a plus.Hands-on experience in System and network automation via configuration management tools.Cross-platform experience is mandatory. (Windows, Linus server platforms)Have good verbal communication skills (English) in both technical and non-technical communications.Have good experience creating design documents (HLD, LLD) diagrams (Vision), and presentations (PPT).Exposure to Enterprise operations will be an added advantage. ResponsibilitiesIdentify and collect automation requirements and plan the best approach to develop and deliver the automation.Adopt different automation tools, languages, and methodologies based on the need.Be creative by leveraging the technologies and propose more useful solutions for the business problems in terms of automations.Explore more deployment, release, service, process, and incident automation practices and improve the overall solution design.Take ownership of issues around automated environments and provide end-to-end solutions.Summarize, visualize, and communicate the automation benefits in a clear and concise business language.Automating IT processes, infrastructure provisioning, integrating different infrastructure servers, etc,Bring in more trending technology experiences which scale the team’s capabilities constantly.Maintain a good analytical mindset for problem-solving under stress and time pressure.Contribute to defining standards and best practices of automation across various methodologies adopted.", Technology Information and Internet, Associate,Bengaluru,Karnataka
C Developer,Crossover,Remote,Full-time,1001,"About the job Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes? Are you the best coder you know? Do you want to apply your expertise to building apps that delight millions of customers? At Trilogy, we develop some of the most innovative cloud-native software solutions across multiple verticals. We are hiring the best coders in the world to tackle the most complex needs in our portfolio. Trilogy uses cloud-native technologies to improve software products for dozens of customers, and we are looking for the most talented programmers to help us. We have reinvented the software development process to break down product specs and milestones into individual code challenges with 4-8 hour SLAs, and your job is to crack the problem as quickly as possible. This role pays a USD 200k salary and provides the chance to double your compensation as you move up the Engineering ladder. The future of work started long ago with us. Home office twice a week? We have been working from wherever we want for the last fifteen years in our 100% remote model. While scrum rituals and daily standups are still dominating the rest of the industry, our team is already operating under a global asynchronous model where each developer follows 8-hour shifts three or four days a week, plans the rest of their workweek flexibly, and never exceeds 40 hours. The development operates 24x7, but you are free to choose your own schedule! What You Will Be Doing Designing innovative commercial software and writing high-quality code to bring them into production.Implementing new features on existing software products by solving complex implementation problems and making the appropriate technical decisions.Fixing bugs to permanently eliminate defects that impair product functionality. What You Won’t Be Doing Dealing with unclear expectations or non-technical managers. Every task will have a clear scope and objective for you to implement.Executing repeated tasks for the same product using the same tech stack. Our portfolio of 60+ products ensures you are always tackling new challenges.Non-technical tasks. This is a role for those who love coding and want to dedicate time to solving complex technical issues. C# Developer key responsibilities Solve the most difficult coding challenges and develop great software products that delight millions of customers. Basic Requirements 5+ years of commercial software development experienceAvailability to work during US business hours About Trilogy Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds. There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you! Working with Crossover This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $100 USD/hour, which equates to $200,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic. What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments. Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4493-IN-Noida-C#Developer.006", IT Services and IT Consulting, Director,Noida,Uttar Pradesh
Blockchain Developer,Trikon,Remote,Full-time,11,"About the job Trikon is looking forward to hiring an experienced individual to join our Engineering team as a Junior Full-stack Engineer. Trikon is an early-phase startup where we aim to build a fully community-driven and decentralized gaming ecosystem where users can access many high-quality gaming choices. Trikon is working on streamlining the user onboarding process and making web3 accessible and more sustainable by building out solutions in the current infrastructure. Our marketplace and Vault solution combines with a unique offering of PoR(Proof-of-Reward) mechanism which makes us achieve the goal by unlocking the potential of Web3 gaming. In this role, you will be responsible for the development and implementation of front and back-end software applications. Your responsibilities will extend from designing system architecture to high-level programming, performance testing, and systems integration. If you think you can take up these challenging tasks as a Full-stack engineer then send us your application right away. We look forward to hearing from you. Responsibilities: Design, Develop quality web3 and responsive web pages.Test, manage and maintain the code and provide fixes as needed.Write effective APIs/GraphQL Queries etc.Document design, code, and participate in reviews.Communicate, collaborate, and work effectively with the team.Perform requirements analysis, high-level design, and effort estimation according to requirements.Write clean, concise, and sustainable code.Work in a cross-functional team to deliver a complete user experience. Requirements: Minimum of 1-2 years of experience as a Full Stack Developer or similar role.Bachelor’s degree in Security, Computer Science, or a related field.Experience with React.js, Node.js, Next.js, and JS libraries.Must have an understanding of web3 and blockchain fundamentals.An exceptional understanding of secure and scalable application development, including the full lifecycle of API microservices services, including authentication, API gateways, and versioning.Excellent analytical and time management skills.Ability to wear many hats and learn new technologies quickly.Solid knowledge of web architecture and design patterns.Good knowledge and understanding of Backend and Frontend technologiesHands-on experience in building REST API using NodeJsExcellent communication and teamwork skillsGreat attention to detail.Interest in the game industry, since you will be working with people crazy for developing and playing games. Interested candidates can apply here https://trikon.io/career Referrals are most welcome!!!",Not Avilable,Not Avilable,Bengaluru,Karnataka
DevOps Engineer,AfflatusHR Services Pvt. Ltd.,On-site,Full-time,11,"About the job Key Technical Skills Hashicorp Vault Terraform Git and Gitlab runners AWS and Azure Shell Scripting Grafana Key tasks and responsibilities Implement security-compliant Vault development activities that conform both to customer requirements and IT security standards Implement the technology/development roadmap for the product by working with the Product Manager and Architect. Integration of different applications with Hashicorp Vault Proactive in the Integration implementation and development of the product (incl. Follow up with internal customers, checking compatibility of features for planned upgrades, implement integration into other applications and infrastructure components) Stage new features (Product Enhancements) and blueprints (Product Usage Guidelines/Scenarios) developed by the Architect Work with modern technologies to maintain one of the core IT security components of our Cloud infrastructure (Azure & AWS) Maintain and enhance infrastructure access policies & deployment standards Preserve Infrastructure monitoring, logging & alerting systems Sustain security monitoring of procedures & policies, implement prevention of malicious policy changes Continuously enhance the infrastructure automation to maintain, optimize and update the product Manage incidents in coordination with other roles with a focus on root cause analysis/technical evaluation & resolution Ensure that expected application quality attribute levels are achieved Release and Patch management maintenance for the product Requirements/Skills Study to university degree level natural sciences, computer science, business, or an equivalent education Experience with implementing and supporting solutions using AWS & Azure public cloud Substantial Knowledge In The Following Areas Deployment, integration, configuration & lifecycle management of Hashicorp Vault with IaaC based on Terraform and Packer Secure Setup of Infrastructure with AWS and Azure RBAC & ABAC in cross account/subscription setups Git commands and Linux shell scripts Hands On experience with CI/CD (e.g. Gitlab-CI, Jenkins) General programming / scripting experience in one or more language (e.g. Go, Java, Python and sometimes PowerShell) Prior knowledge/understanding of OAuth2 (+OIDC) based AuthN + AuthZ Logging & Monitoring: AWS Cloudwatch logs, Azure Log Analytics, Grafana, Prometheus & Alert manager Agile development experience and ability to use Jira and Confluence Fluency in written and spoken English Strong communication skills, customer orientation, intercultural competence, global mindset, solution orientation, willingness to learn and flexibility.", Human Resources, Mid-Senior level,Gurgaon,Haryana
Cloud Engineer,Growel Softech Ltd,On-site,Full-time,501,"About the job Job Title : Cloud Engineer for AWS/AzureLocation : NagpurExperience : 8 to 12 yearsNotice Period : 30 Days JD : Cloud Engineer for AWS/Azure Develop and automate high performant cloud environments to ensure security, reliability and scalability (“infrastructure as code”)Ability to deploy cloud infrastructure/services, manage day to day operations, troubleshoot issues related to cloud infrastructure/services, deploy and manage K8s clusters.Bringing Cloud strategy into action.“Automate everything” attitude, including provisioning infrastructuresManaging cloud environment and integration with on premise systems and applications.Ensure that all systems are fully backed-up and resilient and that data is stored securely in line with IT security requirements.Ensure IT security is at the forefront of all delivery, minimizing any potential risk of data loss from the organization.Following acquisitions, assist when necessary the project team with the integration.Encouraging teamwork and assisting to develop fellow team member’s skills and knowledge.Use modern tools including Docker Container, KubernetesHands on Experience in Linux or Window Operating SystemHands on Experience with Public Cloud Compute Services, Storage Services, Security Services, Network Services and monitoring Services.Hands on experience in Docker and Container Orchestration using Kubernetes on K8s or Public Cloud Managed K8s SolutionsHands on Experience with Public cloud Database services.Ability to write scripts (Shell, Python) and Automate Cloud Infras using terraform/cloudformationExperience in Source Code Management: Gitlab/ GitHub/ Bitbucket/Code Commit.Experience with Agile Processes, JIRA etcDesign and optimize robust CI/CD pipelines for cloud apps and data pipelines (Jira, Git, Jenkins, confluence, PlanUML), This will be considered as Good to Have.Having any Public Cloud Certifications will be considered as a plus.Design Public Cloud deployments based on customer needs, best practices, and patternsCreation of monitoring solutions to ensure the general system status (ELK, Dynatrace, Grafana)Should be Able to work as an individual and in team Interested candidates kindly share updated resumes on growel4u@growelsoftech.com", IT Services and IT Consulting, Mid-Senior level,Nagpur,Maharashtra
